ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.9800,0.9898,0.9800,0.9648,0.9733,0.9690,0.9683,0.01000,10.0000,3.0,1.0,11.53,109,bw 
0.8525,0.9112,0.8675,0.7863,0.7994,0.7928,0.7880,0.01000,10.0000,3.0,0.9,11.43,108,bw 
0.9350,0.9683,0.9450,0.9062,0.9228,0.9144,0.9124,0.01000,10.0000,3.0,0.8,11.18,104,bw 
0.7875,0.8821,0.7900,0.6659,0.7983,0.7261,0.7192,0.01000,10.0000,3.0,0.7,10.53,101,bw 
0.8325,0.9002,0.8400,0.7446,0.8017,0.7721,0.7666,0.01000,10.0000,3.0,0.6,9.60,89,bw 
0.7650,0.8735,0.7875,0.6746,0.7383,0.7050,0.6979,0.01000,10.0000,3.0,0.5,10.07,89,bw 
0.8000,0.8910,0.8225,0.7209,0.7533,0.7368,0.7305,0.01000,10.0000,3.0,0.4,4.78,30,bw 
0.8250,0.9057,0.8425,0.7557,0.7872,0.7712,0.7658,0.01000,10.0000,3.0,0.3,9.99,79,bw 
0.8125,0.8976,0.8350,0.7437,0.7689,0.7561,0.7504,0.01000,10.0000,3.0,0.2,8.04,78,bw 
0.8050,0.8925,0.8250,0.7266,0.7561,0.7411,0.7350,0.01000,10.0000,3.0,0.1,2.44,19,bw 
0.7875,0.8761,0.7950,0.6514,0.7100,0.6794,0.6717,0.01000,50.0000,3.0,1.0,15.52,128,bw 
0.7625,0.8723,0.7650,0.6225,0.7439,0.6778,0.6697,0.01000,50.0000,3.0,0.9,18.34,126,bw 
0.8050,0.8958,0.8275,0.6978,0.7544,0.7250,0.7184,0.01000,50.0000,3.0,0.8,16.02,123,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,3.0,0.7,15.84,122,bw 
0.9950,0.9955,0.9950,0.9895,0.9900,0.9897,0.9895,0.01000,50.0000,3.0,0.6,15.45,119,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,3.0,0.5,15.44,116,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,3.0,0.4,13.89,115,bw 
0.9500,0.9812,0.9500,0.9000,1.0000,0.9474,0.9461,0.01000,50.0000,3.0,0.3,13.31,108,bw 
0.8175,0.9028,0.8400,0.7457,0.8017,0.7727,0.7673,0.01000,50.0000,3.0,0.2,12.36,100,bw 
0.7500,0.8670,0.7725,0.6450,0.7500,0.6936,0.6859,0.01000,50.0000,3.0,0.1,11.59,95,bw 
0.6725,0.8297,0.6800,0.5185,0.7483,0.6126,0.6019,0.01000,100.0000,3.0,1.0,17.09,137,bw 
0.7100,0.8458,0.7175,0.5617,0.7178,0.6302,0.6206,0.01000,100.0000,3.0,0.9,17.08,134,bw 
0.6800,0.8350,0.6850,0.5461,0.6544,0.5954,0.5852,0.01000,100.0000,3.0,0.8,16.50,131,bw 
0.7700,0.8773,0.7775,0.6377,0.7717,0.6983,0.6907,0.01000,100.0000,3.0,0.7,16.57,129,bw 
0.8475,0.9185,0.8525,0.7548,0.8278,0.7896,0.7845,0.01000,100.0000,3.0,0.6,15.28,127,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,100.0000,3.0,0.5,15.68,124,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,100.0000,3.0,0.4,15.32,122,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,100.0000,3.0,0.3,15.91,119,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,100.0000,3.0,0.2,15.04,115,bw 
0.7950,0.8938,0.8150,0.6994,0.8039,0.7480,0.7418,0.01000,100.0000,3.0,0.1,15.67,111,bw 
0.8100,0.8951,0.8300,0.7382,0.7628,0.7503,0.7444,0.01000,0.0079,4.0,1.0,2.77,18,bw 
0.8025,0.8901,0.8225,0.7211,0.7511,0.7358,0.7296,0.01000,0.0079,4.0,0.9,2.09,15,bw 
0.8025,0.8871,0.8225,0.7205,0.7489,0.7344,0.7282,0.01000,0.0079,4.0,0.8,2.17,14,bw 
0.8050,0.8914,0.8275,0.7295,0.7567,0.7428,0.7368,0.01000,0.0079,4.0,0.7,2.22,13,bw 
0.8050,0.8909,0.8275,0.7290,0.7561,0.7423,0.7362,0.01000,0.0079,4.0,0.6,1.73,14,bw 
0.8150,0.8900,0.8325,0.7263,0.7561,0.7409,0.7348,0.01000,0.0079,4.0,0.5,1.86,12,bw 
0.8050,0.8894,0.8275,0.7254,0.7528,0.7388,0.7327,0.01000,0.0079,4.0,0.4,1.59,13,bw 
0.8000,0.8880,0.8125,0.7154,0.7389,0.7270,0.7206,0.01000,0.0079,4.0,0.3,1.96,15,bw 
0.8075,0.8843,0.8225,0.7156,0.7450,0.7300,0.7236,0.01000,0.0079,4.0,0.2,1.67,12,bw 
0.8200,0.8886,0.8325,0.7261,0.7556,0.7405,0.7344,0.01000,0.0079,4.0,0.1,4.04,12,bw 
0.8100,0.8972,0.8350,0.7371,0.7694,0.7529,0.7471,0.01000,0.0100,4.0,1.0,3.05,15,bw 
0.8100,0.8951,0.8300,0.7382,0.7628,0.7503,0.7444,0.01000,0.0100,4.0,0.9,3.35,15,bw 
0.7975,0.8908,0.8225,0.7224,0.7489,0.7354,0.7292,0.01000,0.0100,4.0,0.8,3.33,14,bw 
0.8025,0.8890,0.8250,0.7235,0.7517,0.7373,0.7311,0.01000,0.0100,4.0,0.7,2.43,13,bw 
0.7950,0.8861,0.8175,0.7086,0.7417,0.7248,0.7183,0.01000,0.0100,4.0,0.6,2.74,14,bw 
0.8025,0.8888,0.8250,0.7240,0.7533,0.7384,0.7322,0.01000,0.0100,4.0,0.5,2.17,11,bw 
0.8100,0.8818,0.8225,0.7116,0.7483,0.7295,0.7231,0.01000,0.0100,4.0,0.4,2.70,13,bw 
0.8050,0.8894,0.8275,0.7254,0.7528,0.7388,0.7327,0.01000,0.0100,4.0,0.3,2.17,13,bw 
0.7900,0.8817,0.8050,0.6993,0.7272,0.7130,0.7062,0.01000,0.0100,4.0,0.2,2.68,15,bw 
0.8025,0.8865,0.8225,0.7221,0.7450,0.7334,0.7271,0.01000,0.0100,4.0,0.1,2.16,11,bw 
0.8100,0.8970,0.8325,0.7431,0.7667,0.7547,0.7490,0.01000,0.1000,4.0,1.0,7.73,43,bw 
0.8075,0.8935,0.8300,0.7358,0.7611,0.7482,0.7423,0.01000,0.1000,4.0,0.9,6.97,41,bw 
0.8075,0.8935,0.8300,0.7358,0.7611,0.7482,0.7423,0.01000,0.1000,4.0,0.8,6.77,38,bw 
0.8150,0.8989,0.8375,0.7437,0.7739,0.7585,0.7528,0.01000,0.1000,4.0,0.7,2.81,17,bw 
0.8150,0.8884,0.8275,0.7207,0.7539,0.7369,0.7307,0.01000,0.1000,4.0,0.6,5.86,35,bw 
