ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.8571,0.8891,0.8571,0.7702,0.9905,0.8665,0.8419,0.00090,10.0000,3.0,1.0,5.47,119,bw 
0.9619,0.9297,0.9619,0.9211,0.9310,0.9260,0.9140,0.00090,10.0000,3.0,0.9,6.33,127,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,10.0000,3.0,0.8,5.06,115,bw 
0.7476,0.6337,0.7476,0.6081,0.6233,0.6156,0.5528,0.00090,10.0000,3.0,0.7,5.28,115,bw 
0.7667,0.6549,0.7667,0.6325,0.6476,0.6399,0.5811,0.00090,10.0000,3.0,0.6,5.01,114,bw 
0.5429,0.4875,0.5619,0.3858,0.5048,0.4373,0.3323,0.00090,10.0000,3.0,0.5,4.85,106,bw 
0.6286,0.5848,0.6476,0.5234,0.5977,0.5581,0.4814,0.00090,10.0000,3.0,0.4,4.75,104,bw 
0.5143,0.4767,0.5238,0.4155,0.4788,0.4449,0.3481,0.00090,10.0000,3.0,0.3,4.77,97,bw 
0.5333,0.4353,0.5333,0.3971,0.4250,0.4105,0.3118,0.00090,10.0000,3.0,0.2,4.05,89,bw 
0.4619,0.4034,0.4714,0.3609,0.3839,0.3721,0.2672,0.00090,10.0000,3.0,0.1,0.76,12,bw 
0.6000,0.5172,0.6000,0.4170,0.6062,0.4941,0.3946,0.00090,50.0000,3.0,1.0,6.16,138,bw 
0.5762,0.4997,0.5762,0.3944,0.5691,0.4659,0.3612,0.00090,50.0000,3.0,0.9,6.14,138,bw 
0.5810,0.5842,0.5857,0.4592,0.7780,0.5775,0.4882,0.00090,50.0000,3.0,0.8,6.18,138,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,50.0000,3.0,0.7,6.28,136,bw 
0.9429,0.8876,0.9429,0.8862,0.8926,0.8894,0.8715,0.00090,50.0000,3.0,0.6,5.97,133,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,50.0000,3.0,0.5,6.46,141,bw 
0.7476,0.7700,0.7667,0.6498,0.7928,0.7142,0.6628,0.00090,50.0000,3.0,0.4,6.24,131,bw 
0.9905,0.9784,0.9905,0.9803,0.9810,0.9806,0.9775,0.00090,50.0000,3.0,0.3,6.16,137,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,50.0000,3.0,0.2,5.82,126,bw 
0.7524,0.6442,0.7524,0.6273,0.6440,0.6356,0.5759,0.00090,50.0000,3.0,0.1,5.61,117,bw 
0.6048,0.6053,0.6048,0.4635,0.7504,0.5730,0.4846,0.00090,100.0000,3.0,1.0,6.64,148,bw 
0.4381,0.3293,0.4381,0.2823,0.5678,0.3771,0.2354,0.00090,100.0000,3.0,0.9,6.49,144,bw 
0.5762,0.5637,0.5857,0.4062,0.6663,0.5047,0.4015,0.00090,100.0000,3.0,0.8,6.88,142,bw 
0.5476,0.5511,0.5476,0.4159,0.5928,0.4888,0.3892,0.00090,100.0000,3.0,0.7,6.30,141,bw 
0.5048,0.4702,0.5143,0.3567,0.5255,0.4250,0.3111,0.00090,100.0000,3.0,0.6,6.35,138,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,100.0000,3.0,0.5,6.51,147,bw 
0.8714,0.8431,0.8714,0.7976,0.8384,0.8175,0.7872,0.00090,100.0000,3.0,0.4,6.17,139,bw 
0.7190,0.7891,0.7190,0.6256,0.9714,0.7611,0.7126,0.00090,100.0000,3.0,0.3,6.48,139,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,100.0000,3.0,0.2,6.62,140,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,100.0000,3.0,0.1,5.95,128,bw 
0.4619,0.4029,0.4667,0.3586,0.3806,0.3693,0.2641,0.00090,0.0261,4.0,1.0,1.46,30,bw 
0.4571,0.3981,0.4619,0.3602,0.3800,0.3698,0.2651,0.00090,0.0261,4.0,0.9,1.30,25,bw 
0.4714,0.4123,0.4762,0.3674,0.3892,0.3780,0.2744,0.00090,0.0261,4.0,0.8,1.39,25,bw 
0.4619,0.4002,0.4714,0.3648,0.3862,0.3752,0.2712,0.00090,0.0261,4.0,0.7,0.99,15,bw 
0.4619,0.3995,0.4667,0.3626,0.3819,0.3720,0.2678,0.00090,0.0261,4.0,0.6,1.12,21,bw 
0.4619,0.3946,0.4667,0.3566,0.3780,0.3670,0.2615,0.00090,0.0261,4.0,0.5,0.73,13,bw 
0.4619,0.3961,0.4667,0.3577,0.3793,0.3682,0.2629,0.00090,0.0261,4.0,0.4,0.87,15,bw 
0.4619,0.3961,0.4667,0.3577,0.3793,0.3682,0.2629,0.00090,0.0261,4.0,0.3,0.71,11,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,4.0,0.2,0.85,11,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,4.0,0.1,0.83,13,bw 
0.4619,0.3995,0.4667,0.3626,0.3819,0.3720,0.2678,0.00090,0.0100,4.0,1.0,1.02,18,bw 
0.4619,0.4034,0.4714,0.3609,0.3839,0.3721,0.2672,0.00090,0.0100,4.0,0.9,0.66,10,bw 
0.4619,0.4034,0.4714,0.3609,0.3839,0.3721,0.2672,0.00090,0.0100,4.0,0.8,0.77,12,bw 
0.4619,0.3961,0.4667,0.3577,0.3793,0.3682,0.2629,0.00090,0.0100,4.0,0.7,0.65,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,4.0,0.6,0.70,10,bw 
0.4619,0.3961,0.4667,0.3577,0.3793,0.3682,0.2629,0.00090,0.0100,4.0,0.5,0.94,12,bw 
